Customer_ID,Age,Gender,State,Customer_Segment,Acquisition_Channel,Join_Date,Tenure_Months,Total_Orders,Orders_Last_90_Days,Total_Spend_NGN,Spend_Last_90_Days_NGN,Average_Order_Value_NGN,Days_Since_Last_Purchase,Most_Purchased_Category,Categories_Purchased,Total_Complaints,Primary_Complaint,Complaint_Severity,Complaint_Status,Days_To_Resolution,Number_of_Followups,Escalated,Complaint_Satisfaction,Return_Count,Return_Rate,Main_Return_Reason,Refund_Delay_Days,Refund_Amount_NGN,Exchange_Requested,Exchange_Successful,Average_Delivery_Days,Expected_Delivery_Days,Delivery_Delay_Days,Delivery_Delay_Count,Damaged_Delivery_Count,Missing_Item_Count,Delivery_Satisfaction,Support_Contacts,Average_Response_Time_Hours,Average_Resolution_Time_Hours,First_Contact_Resolution,Customer_Service_Rating,Product_Rating,Service_Rating,Satisfaction_Score,Trust_Score,NPS_Score,Likelihood_To_Return,Average_Discount_Percent,Discount_Usage_Rate,Price_Increase_Experienced,Competitor_Purchase_Flag,Competitor_Purchase_Frequency,Current_Status,Retained,Churned,At_Risk,Dormant,Churn_Reason,Churn_Date,Churn_Risk_Score
CUST10001,56,Female,Lagos,Regular,Website,2024-01-02,32,14,2,271182.92,38505.26,18183.07,43,Accessories,5,2,Poor Customer Service,High,Resolved,8,0,No,5.0,0,0.0,No Return,0,0.0,No,No,3.1,5.2,0.0,0,0,1,3.8,2,4.5,13.8,No,4.0,3.3,4.0,3.9,4.0,5,7.7,2.33,0.185,No,No,0,Retained,Yes,No,No,No,Not Churned,,6.4
CUST10002,46,Female,Cross River,Regular,Referral,2025-12-19,8,8,1,628918.87,87168.1,82055.62,103,Shoes,1,3,Failed Payment,High,Resolved,1,4,Yes,4.3,1,0.125,Damaged,3,54078.14,No,No,5.3,3.9,1.4,0,0,1,3.8,3,4.7,6.0,No,4.4,4.6,4.4,4.9,5.0,47,10.0,7.39,0.263,No,No,0,Dormant,Yes,No,No,Yes,Not Churned,,20.2
CUST10003,32,Male,Kaduna,Regular,Google,2023-11-25,33,10,3,193874.12,53166.51,20795.07,139,Beauty,4,2,Poor Product Quality,Medium,Resolved,7,0,No,4.8,1,0.1,Duplicate Order,10,9938.56,No,No,6.2,5.3,0.9,1,0,0,3.1,2,5.6,12.0,No,3.1,5.0,3.1,3.7,3.9,32,7.7,6.46,0.3,No,No,0,At Risk,Yes,No,Yes,No,Not Churned,,21.7
CUST10004,60,Female,Kano,Regular,TikTok,2024-12-28,20,8,0,396224.93,0.0,43947.63,60,Tops,2,1,Issue Not Resolved,High,Resolved,9,0,No,5.0,1,0.125,Wrong Size,6,23780.31,No,No,5.2,3.2,2.0,2,0,0,2.9,1,4.7,9.0,No,2.5,3.7,2.5,3.5,3.6,0,6.3,2.3,0.071,No,No,0,Retained,Yes,No,No,No,Not Churned,,7.9
CUST10005,25,Male,Cross River,Regular,Facebook,2025-10-02,11,3,3,254723.76,216250.92,76733.89,97,Trousers,5,1,Damaged Product,High,Closed,12,0,No,3.9,3,1.0,Not as Expected,5,100984.04,No,No,5.1,4.4,0.7,1,0,0,3.8,1,5.7,15.0,No,3.8,4.1,3.8,3.0,2.8,10,8.9,9.99,0.516,No,No,0,Churned,No,Yes,No,No,Poor Product Quality,1770422400000000000,33.2
CUST10006,38,Male,Lagos,Regular,TikTok,2024-12-20,20,9,2,275383.22,63309.53,28915.99,55,Beauty,4,1,Wrong Product,Low,Resolved,7,0,No,3.5,0,0.0,No Return,0,0.0,No,No,7.0,4.6,2.4,4,0,0,2.5,1,2.6,7.0,No,4.9,4.3,4.9,4.1,4.4,21,7.3,3.88,0.621,No,No,0,Churned,No,Yes,No,No,Too Many Delivery Problems,1774224000000000000,18.1
CUST10007,56,Male,Lagos,Regular,Instagram,2025-12-22,8,8,1,176530.65,22331.05,22647.69,104,Trousers,1,2,Product Not as Described,High,Closed,3,2,No,5.0,2,0.25,Defective,11,41161.88,No,No,3.6,3.4,0.2,0,0,0,4.5,2,14.2,17.4,No,4.1,4.0,4.1,4.6,5.0,5,9.0,3.26,0.31,No,No,0,Churned,No,Yes,No,No,Relocated,1779321600000000000,57.7
CUST10008,36,Female,Rivers,New Customer,Website,2023-07-03,38,8,3,381436.97,134471.46,46844.66,55,Trousers,5,1,Refund Rejected,Medium,Closed,1,1,No,5.0,2,0.25,Duplicate Order,3,70174.04,Yes,Yes,1.3,3.6,0.0,0,0,1,5.0,1,12.6,16.7,Yes,4.1,4.1,4.1,4.9,4.9,38,7.9,5.13,0.345,Yes,No,0,Retained,Yes,No,No,No,Not Churned,,18.0
CUST10009,40,Male,Abia,High Value,Google,2025-10-19,10,15,2,375695.28,44282.92,24302.14,72,Dresses,2,0,No Complaint,None,No Complaint,0,0,No,,2,0.133,Poor Quality,3,17028.54,Yes,Yes,2.7,4.2,0.0,0,0,1,5.0,1,9.4,14.8,Yes,3.7,4.8,3.7,4.4,4.6,34,8.0,5.09,0.179,No,Yes,7,Retained,Yes,No,No,No,Not Churned,,15.2
CUST10010,28,Male,Oyo,Loyal,Referral,2023-11-07,34,11,3,210077.32,67326.69,21143.84,69,Trousers,5,4,Poor Product Quality,High,Resolved,9,3,No,3.7,0,0.0,No Return,0,0.0,No,No,3.5,3.7,0.0,0,0,1,4.6,4,6.0,9.0,No,3.2,3.9,3.2,4.4,4.2,68,6.5,6.13,0.363,No,No,0,Retained,Yes,No,No,No,Not Churned,,21.2
CUST10011,28,Female,Enugu,Loyal,Facebook,2023-06-26,38,8,4,407723.73,165915.93,44608.6,53,Beauty,2,1,Stock Availability,Low,Resolved,1,2,No,4.4,1,0.125,Wrong Color,10,29818.75,No,No,3.8,4.0,0.0,0,0,0,4.6,1,14.5,17.6,No,4.4,5.0,4.4,4.5,4.1,22,7.1,6.2,0.198,No,No,0,Retained,Yes,No,No,No,Not Churned,,11.6
CUST10012,41,Male,Delta,New Customer,TikTok,2026-01-01,8,9,6,374078.76,291252.99,45938.01,133,Shoes,3,1,Discount Not Applied,Medium,Resolved,2,2,No,4.2,3,0.333,Not as Expected,5,57287.93,No,No,3.2,3.9,0.0,0,0,0,5.0,1,0.6,5.3,No,4.6,3.9,4.6,4.0,4.0,17,7.7,1.19,0.125,No,No,0,At Risk,Yes,No,Yes,No,Not Churned,,17.0
CUST10013,53,Male,Abia,Loyal,Website,2025-04-26,16,10,3,338970.01,101506.27,31536.36,79,Dresses,3,0,No Complaint,None,No Complaint,0,0,No,,0,0.0,No Return,0,0.0,No,No,5.5,4.5,1.0,4,1,2,3.3,2,8.1,13.5,Yes,5.0,3.9,5.0,4.2,4.7,29,9.4,7.03,0.359,No,No,0,Dormant,Yes,No,No,Yes,Not Churned,,12.0
CUST10014,57,Female,Abuja,Loyal,Google,2026-04-05,4,10,4,334580.03,114212.4,33026.79,69,Shoes,2,1,Poor Product Quality,High,Resolved,5,1,No,4.1,1,0.1,Damaged,11,18807.3,No,No,4.5,2.7,1.8,1,0,1,4.5,1,1.7,9.4,No,3.5,2.8,3.5,3.9,3.4,31,6.2,18.34,0.195,No,No,0,Retained,Yes,No,No,No,Not Churned,,19.5
CUST10015,41,Female,Lagos,Loyal,Referral,2023-01-09,44,11,1,413855.37,33890.23,34670.43,40,Accessories,4,0,No Complaint,None,No Complaint,0,0,No,,0,0.0,No Return,0,0.0,No,No,2.5,5.4,0.0,0,0,1,4.6,1,6.3,10.2,Yes,4.1,4.4,4.1,4.5,4.3,37,9.0,0.76,0.21,No,No,0,Retained,Yes,No,No,No,Not Churned,,5.1
CUST10016,20,Female,Abuja,New Customer,Google,2023-08-24,36,10,1,277401.15,27875.61,29186.26,172,Tops,1,1,Late Delivery,Low,Resolved,1,1,No,5.0,2,0.2,Not as Expected,4,36652.36,No,No,4.1,2.8,1.3,1,0,0,4.1,1,7.0,15.7,Yes,4.0,3.6,4.0,4.3,4.4,53,8.2,7.26,0.125,No,No,0,At Risk,Yes,No,Yes,No,Not Churned,,60.5
CUST10017,39,Female,Imo,Loyal,Website,2024-12-10,21,14,1,386944.1,26563.13,28011.99,36,Trousers,3,5,Poor Product Quality,Low,Resolved,7,2,No,3.0,1,0.071,Damaged,9,20570.42,Yes,Yes,3.1,3.5,0.0,0,0,1,4.2,5,7.4,10.0,No,4.4,3.9,4.4,4.2,3.5,4,6.1,16.47,0.137,Yes,Yes,2,At Risk,Yes,No,Yes,No,Not Churned,,19.8
CUST10018,19,Female,Abuja,Loyal,Google,2025-07-12,13,11,3,187657.17,47221.73,16694.38,25,Bags,4,0,No Complaint,None,No Complaint,0,0,No,,0,0.0,No Return,0,0.0,No,No,1.0,2.5,0.0,0,0,1,4.0,2,3.6,10.4,Yes,4.0,4.5,4.0,4.6,5.0,84,10.0,8.76,0.111,No,No,0,Retained,Yes,No,No,No,Not Churned,,3.1
CUST10019,41,Female,Kano,Regular,Website,2024-11-15,21,14,3,287904.88,66453.0,22534.16,46,Accessories,5,0,No Complaint,None,No Complaint,0,0,No,,2,0.143,Damaged,5,23396.3,Yes,No,3.4,4.9,0.0,0,1,0,4.3,4,9.9,12.5,Yes,2.7,3.5,2.7,3.5,3.7,14,8.5,3.53,0.503,No,No,0,Retained,Yes,No,No,No,Not Churned,,6.1
